No;Familia1;Género1;Código;FAMILIA;GENERO;ESPECIE;Culmen-Expuesto;Culmen-Total;Largo-Narina;Alto-Narina;Comisura;Longitud-Tarzo;Cuerda-Alar;Largo-Rectrices;Longitud-total;Dieta
1;CHARA;Vnlls;Vnllsc;CHARADRIIDAE ;Vanellus;Vanellus chilensis ;28,5;33,4;19,5;4,2;10,1;73,4;123,6;98,4;275,2;I
2;COLUM;Gtryg;Gtrygs;COLUMBIDAE ;Geotrygon;Geotrygon saphirina ;18,6;21;9,6;3,1;7,2;39,7;89,3;72,9;190;G 
3;COTIN;Pchyr;Pchypd;COTINGIDAE ;Pachyramphus  ;Pachyramphus polychopterus dorsalis;13,4;15,7;11,4;6,2;10,4;19,5;79,8;68,8;123,8;F
4;DENDR;Xphrh;Xphrhl;DENDROCOLAPTIDAE;Xiphorhynchus ;Xiphorhynchus lachrymosus;34,1;39,9;28,2;5,1;13,8;22,9;107,1;79,3;155,3;I
5;EMBER;Sprph;Sprphn;EMBERIZIDAE  ;Sporophila  ;Sporophila nigricollis ;6,6;9,5;5,7;4,2;6,8;14,5;52,7;38,5;89,4;G 
6;EMBER;Brrmn;Arrmnb;EMBERIZIDAE  ;Buarremon  ;Arremon brunneinucha ;17;19,6;12,4;5,6;9,1;28,9;80,1;80,1;162,8;G 
7;EMBER;Atlpt;Atlptt;EMBERIZIDAE  ;Atlapetes  ;Atlapetes tricolor;14,5;17,1;10,3;7,7;8,8;26,7;76,2;81,5;135,8;G 
8;EMBER;Slttr;Slttrg;EMBERIZIDAE  ;Saltator  ;Saltator grossus;17,7;22,9;14,7;9,5;13,9;22,9;97,5;85;169;G 
9;EMBER;Sprph;Sprphc;EMBERIZIDAE  ;Sporophila  ;Sporophila corvina;8,7;10,4;6,6;5,3;6,7;14,1;53,8;43,3;91,2;G 
10;FALCO;Mcrst;Accptb;FALCONIDAE;Micrastur ;Accipiter bicolor;18,3;23,7;11,6;14,6;16,6;67,9;199,1;168,5;346,1;C
11;FALCO;Mcrst;Mcrstr;FALCONIDAE ;Micrastur ;Micrastur ruficollis ;16,5;20,5;8,9;11,7;14,4;56,1;150,2;139,9;257,4;C
12;FORMI;Frmcr;Frmcrr;FORMICARIIDAE ;Formicarius  ;Formicarius rufipectus ;20,6;26,6;14,4;3,7;10,9;41,5;87,4;57,5;175;I
13;FRING;Euphn;Ephnfl;FRINGILLIDAE ;Euphonia  ;Euphonia fulvicrissa ;7,1;10,2;5,1;2,7;5,9;16;50,7;20,7;67,4;F
14;FRING;Euphn;Ephnxn;FRINGILLIDAE ;Euphonia  ;Euphonia xanthogaster;7,8;11,2;5,7;4,1;6,8;13;58,3;38,7;85,6;F
15;FURNA;Glyph;Glyphs;FURNARIIDAE ;Glyphorynchus  ;Glyphorynchus spirurus ;10;11,4;8,5;3,4;7,6;16,7;65,8;65,8;118,4;I
16;FURNA;Xphrh;Xphrhe;FURNARIIDAE ;Xiphorhynchus  ;Xiphorhynchus erythropygius ;33,5;36,8;27,5;4,7;12,9;22,2;105,1;93,2;180,1;I
17;FURNA;Xenps;Xnpsmn;FURNARIIDAE ;Xenops;Xenops minutus;11,4;13,6;10,4;2,8;6,4;16,5;62,5;45,7;89,9;I
18;FURNA;Anbcr;Anbcrv;FURNARIIDAE ;Anabacerthia  ; Anabacerthia variegaticeps;14,4;17,5;11,1;3,6;9,4;19,2;84,7;61,5;123;I
19;INCES;Coerb;Crbflv;INCERTAE SEDIS:;Coereba  ;Coereba flaveola ;12,3;13,2;9,4;3,2;4,6;16,1;32,8;49,8;80,3;I
20;INCES;Chlrt;Chlrts;INCERTAE SEDIS:;Chlorothraupis  ;Chlorothraupis stolzmanni ;17,5;22;13,9;9,2;7,7;24,2;86,1;76,7;149,5;F
21;MOMOT;Elctr;Elctrp;MOMOTIDAE ;Electron  ;Electron platyrhynchum ;36;44;32,6;9,6;18,3;17,5;123,4;196,2;301,8;I
22;PARUL;Bsltr;Bsltrl;PARULIDAE ;Basileuterus  ;Basileuterus luteoviridis ;8,9;12,7;7,6;2,3;6,2;21;65;54;119;I
23;PARUL;Bsltr;Bsltrt;PARULIDAE ;Basileuterus  ;Basileuterus tristriatus ;8,5;11,3;6,7;3,6;7;19,8;61,2;48,8;105,6;I
24;PARUL;Bsltr;Bsltrc;PARULIDAE ;Basileuterus  ;Basileuterus chrysogaster ;9,6;12,9;7,8;2,9;6,9;19,5;66,7;52,8;100,6;I
25;PICID;Celes;Clslrc;PICIDAE ;Celeus ;Celeus loricatus;20,3;24,2;15,6;4,9;11;18,2;111,9;67,7;147,8;I
26;PICID;Vnlrn;Vnlrnf;PICIDAE ;Veniliornis  ; Veniliornis fumigatus;22,6;24,2;19,2;8,3;10,6;29,8;92,1;61,1;123,1;I
27;PIPRI;Pipra;Lpdthc;PIPRIDAE;Pipra;Lepidothrix coronata;6,6;9,3;5,6;3,1;6,7;14,4;55,8;30,9;66,8;I
28;PIPRI;Mancs;Mncsmn;PIPRIDAE ;Manacus  ;Manacus manacus ;10,4;12;6,1;3;8,4;21,7;43,1;42,3;82,5;I
29;PIPRI;Masis;Msschr;PIPRIDAE ;Masius  ;Masius chrysopterus ;7,5;10,7;5,3;3,1;7,7;18,3;60,1;47,2;97,3;I
30;PIPRI;Mchrp;Mchrpd;PIPRIDAE ;Machaeropterus ;Machaeropterus deliciosus;8,6;11,1;7;3,2;6,9;17,8;58,5;29,2;75,3;I
